"FirstColumn","SMOC2_normal_1.rawcounts","SMOC2_normal_3.rawcounts","SMOC2_normal_4.rawcounts","SMOC2_UUO_1.rawcounts","SMOC2_UUO_2.rawcounts","SMOC2_UUO_3.rawcounts","SMOC2_UUO_4.rawcounts","WT_normal_1.rawcounts","WT_normal_2.rawcounts","WT_normal_3.rawcounts","WT_UUO_1.rawcounts","WT_UUO_2.rawcounts","WT_UUO_3.rawcounts","WT_UUO_4.rawcounts"
"ENSMUSG00000000001",1959,1868,2226,4508,3627,3042,3137,2751,2254,3310,4190,3938,3568,3708
"ENSMUSG00000000003",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000028",31,44,45,163,160,171,147,36,48,71,154,128,162,118
"ENSMUSG00000000031",1,3,1,634,174,48,20,2,4,6,521,9,22,5
"ENSMUSG00000000037",5,7,9,21,28,29,22,11,12,13,48,32,35,33
"ENSMUSG00000000049",0,1,1,5,6,3,14,6,0,0,6,5,3,6
"ENSMUSG00000000056",958,1269,1153,1159,789,803,1046,1428,931,1571,975,1306,1151,889
"ENSMUSG00000000058",759,619,837,1302,1345,1146,1132,1372,1040,1232,1615,1442,1459,1439
"ENSMUSG00000000078",713,659,773,6405,5710,5317,5633,988,709,1369,7045,6921,6355,7830
"ENSMUSG00000000085",550,586,530,1184,867,1198,878,696,667,787,1067,1040,1167,781
"ENSMUSG00000000088",3720,3564,5315,2671,1996,2453,1657,5046,4114,5048,2050,2105,2390,2191
"ENSMUSG00000000093",1611,1672,1945,2604,1878,2561,1512,2258,1516,2576,2164,1625,2068,1524
"ENSMUSG00000000094",0,0,4,2,2,8,2,0,2,3,4,2,4,3
"ENSMUSG00000000103",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000120",43,64,28,187,167,152,149,15,42,85,138,116,139,260
"ENSMUSG00000000125",0,0,0,2,0,1,0,0,0,0,0,1,0,1
"ENSMUSG00000000126",38,46,59,138,120,100,81,48,35,69,137,104,114,95
"ENSMUSG00000000127",205,253,203,628,462,455,440,316,240,387,588,572,503,446
"ENSMUSG00000000131",1201,1282,1355,2555,1993,2129,1847,1446,1170,1732,1824,2300,2101,1532
"ENSMUSG00000000134",690,720,851,2188,1637,1917,1617,891,707,1102,1735,1852,1861,1417
"ENSMUSG00000000142",20,49,44,271,159,217,188,55,28,74,346,284,422,150
"ENSMUSG00000000148",418,485,493,1004,728,873,689,482,443,600,757,732,811,608
"ENSMUSG00000000149",2400,2974,2969,3699,2860,3487,2923,2457,2421,3188,2625,2648,2561,2153
"ENSMUSG00000000154",9302,10838,14564,2429,2196,2422,2161,11669,10209,11959,1457,3433,1818,2468
"ENSMUSG00000000157",147,117,143,287,234,215,250,187,107,232,159,238,245,156
"ENSMUSG00000000159",1164,1434,1273,2025,1915,1891,1821,1706,1350,1825,1900,2191,1854,1783
"ENSMUSG00000000167",72,126,83,163,99,148,121,94,112,120,114,189,147,103
"ENSMUSG00000000168",2748,2212,3140,1850,1518,1636,1428,3598,2981,3851,1652,1845,1606,1575
"ENSMUSG00000000171",5416,5789,7350,3935,3484,4183,3711,7976,6706,9114,4011,5089,4070,4042
"ENSMUSG00000000182",0,0,0,1,0,0,1,0,0,0,0,0,0,0
"ENSMUSG00000000183",0,0,1,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000184",235,307,320,1147,932,834,720,352,323,582,1680,927,942,852
"ENSMUSG00000000194",1174,1363,1424,2531,1960,1947,1901,1613,1354,1987,1984,2336,2072,1730
"ENSMUSG00000000197",4,1,3,8,0,0,2,2,5,6,11,3,3,2
"ENSMUSG00000000202",1,3,0,56,40,48,17,4,0,1,34,34,55,30
"ENSMUSG00000000204",3,3,8,91,46,52,34,3,3,5,32,25,26,64
"ENSMUSG00000000214",0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000215",7,13,8,2,0,0,0,5,5,3,0,2,1,1
"ENSMUSG00000000216",892,1079,1163,1244,1048,915,979,1527,1095,1836,1298,1790,1204,1447
"ENSMUSG00000000223",3,1,1,28,27,34,33,2,3,2,53,41,79,13
"ENSMUSG00000000244",13,10,3,164,93,79,168,14,12,17,93,187,101,104
"ENSMUSG00000000247",0,1,3,21,41,69,34,0,1,5,11,10,20,15
"ENSMUSG00000000248",1,0,0,35,9,13,12,1,0,0,24,31,5,10
"ENSMUSG00000000253",2002,2321,1843,3411,2689,2948,2393,2445,2078,2474,2689,3611,3079,2012
"ENSMUSG00000000263",0,0,0,0,1,0,0,0,0,0,0,0,0,0
"ENSMUSG00000000266",527,479,631,890,790,721,693,887,598,947,780,798,695,791
"ENSMUSG00000000275",1693,1584,2068,2940,2378,2472,2366,2263,1621,2720,2363,2357,2836,2450
"ENSMUSG00000000276",119,150,160,347,274,330,356,215,206,254,320,345,311,257
"ENSMUSG00000000278",2163,2541,2817,3523,2783,3814,3450,2730,2226,3304,3450,3057,3423,2554
"ENSMUSG00000000282",553,574,913,1561,1363,1480,1163,726,511,1031,1013,976,1015,839
"ENSMUSG00000000290",79,102,102,1319,1106,943,1535,77,100,164,1490,1597,1355,1584
